# Omega_m h0 Omega_b n_s ln(10^{10}A_s) Omeganuh2 Neff w
3.175617e-01 6.665939e-01 4.679423e-02 9.653465e-01 3.147728e+00 6.205809e-03 3.650486e+00 -1.034955e+00
2.667576e-01 7.532846e-01 6.432921e-02 9.667256e-01 3.258879e+00 3.172374e-03 2.443054e+00 -1.258452e+00
3.248752e-01 7.257058e-01 5.600019e-02 9.645826e-01 2.949542e+00 9.117438e-03 2.528683e+00 -1.042552e+00
2.722668e-01 7.588666e-01 4.935360e-02 9.667075e-01 3.272422e+00 8.270992e-03 4.131038e+00 -1.131752e+00
3.099265e-01 7.595981e-01 6.314517e-02 8.941322e-01 3.099730e+00 9.861996e-04 2.305115e+00 -7.619466e-01
3.579502e-01 7.152077e-01 6.370273e-02 9.132689e-01 3.456426e+00 9.813471e-03 2.095711e+00 -4.717563e-01
3.316951e-01 6.240181e-01 5.824999e-02 8.893403e-01 3.693856e+00 3.337618e-04 3.449686e+00 -3.091643e-01
2.975925e-01 7.571893e-01 5.685423e-02 1.018469e+00 3.577925e+00 4.899571e-03 2.415652e+00 -4.186273e-01
2.199611e-01 8.329310e-01 4.241878e-02 1.060027e+00 3.665697e+00 8.036210e-03 3.393742e+00 -1.085885e+00
2.388188e-01 8.414736e-01 6.105342e-02 1.002735e+00 3.579165e+00 5.824666e-03 2.074076e+00 -1.020046e+00
3.633760e-01 5.289609e-01 5.795314e-02 1.009773e+00 3.814964e+00 6.905059e-03 2.686309e+00 -6.619079e-01
2.876212e-01 6.201989e-01 4.437995e-02 1.025890e+00 3.438267e+00 5.001363e-03 2.984525e+00 -1.155685e+00
2.297558e-01 7.953219e-01 3.369764e-02 1.028258e+00 3.386790e+00 7.575386e-03 2.950317e+00 -1.248193e+00
2.918033e-01 5.900383e-01 5.271622e-02 9.943781e-01 3.450671e+00 3.387212e-03 2.189823e+00 -1.103030e+00
2.847283e-01 6.186261e-01 4.312917e-02 1.055566e+00 3.254768e+00 1.440833e-03 2.103847e+00 -1.000253e+00
3.206296e-01 5.519723e-01 3.181837e-02 9.728301e-01 3.856961e+00 8.393677e-03 2.266739e+00 -5.709917e-01
3.389451e-01 6.929236e-01 4.286358e-02 8.773132e-01 3.561126e+00 8.195760e-03 4.058422e+00 -4.813462e-01
3.022822e-01 7.298902e-01 6.137994e-02 9.556378e-01 3.563995e+00 4.625186e-03 4.110830e+00 -7.234500e-01
3.137301e-01 7.280939e-01 6.025312e-02 1.029900e+00 3.019197e+00 8.867119e-03 4.196786e+00 -1.128176e+00
3.767504e-01 5.313377e-01 4.078433e-02 8.919094e-01 3.735260e+00 6.624262e-03 3.921270e+00 -3.889465e-01
3.193346e-01 6.439287e-01 5.093062e-02 9.668075e-01 3.427664e+00 5.564566e-03 3.727298e+00 -9.090875e-01
2.901605e-01 6.592324e-01 4.039230e-02 9.762450e-01 3.238690e+00 8.142633e-03 2.461212e+00 -1.109694e+00
2.599113e-01 7.262823e-01 4.265217e-02 9.520704e-01 3.254896e+00 6.203780e-03 2.638752e+00 -1.388379e+00
3.195895e-01 8.012581e-01 6.404621e-02 8.629794e-01 3.046487e+00 1.355329e-03 3.020528e+00 -7.688970e-01
2.523723e-01 7.285502e-01 5.743734e-02 9.689096e-01 3.530288e+00 1.295627e-03 3.895633e+00 -9.984376e-01
2.143486e-01 8.359043e-01 5.820124e-02 1.026856e+00 3.396395e+00 3.810366e-04 2.424548e+00 -1.069515e+00
2.797841e-01 8.736782e-01 4.878779e-02 9.193581e-01 3.394112e+00 9.912987e-03 3.631489e+00 -8.736283e-01
2.782464e-01 6.457542e-01 3.881562e-02 1.056118e+00 3.441749e+00 2.618169e-03 4.003783e+00 -8.776870e-01
2.604719e-01 8.562938e-01 4.763716e-02 9.218192e-01 3.516090e+00 8.341437e-03 2.915997e+00 -7.319722e-01
2.748314e-01 8.747145e-01 5.124376e-02 9.601554e-01 3.071123e+00 8.454779e-03 3.992466e+00 -1.012620e+00
3.359318e-01 5.289170e-01 6.254694e-02 1.031760e+00 3.840475e+00 1.717700e-03 3.257882e+00 -5.448756e-01
2.696516e-01 7.626934e-01 4.657169e-02 1.030026e+00 3.479313e+00 9.141908e-03 2.397105e+00 -8.521292e-01
2.817505e-01 6.507467e-01 3.562748e-02 1.059339e+00 3.945292e+00 9.239921e-03 3.729863e+00 -6.504094e-01
2.778251e-01 7.777164e-01 5.951818e-02 1.051467e+00 3.522631e+00 6.487607e-03 2.790404e+00 -6.454945e-01
2.759128e-01 7.900393e-01 3.933334e-02 9.548625e-01 3.553365e+00 8.346809e-03 4.219366e+00 -5.516872e-01
2.322250e-01 7.731368e-01 3.431087e-02 1.022522e+00 3.507573e+00 9.675392e-03 4.047581e+00 -1.063509e+00
2.974701e-01 7.818437e-01 6.268430e-02 9.505634e-01 3.449634e+00 5.650200e-03 2.799774e+00 -8.364360e-01
2.631447e-01 6.608244e-01 2.750092e-02 1.012370e+00 3.882620e+00 4.113814e-03 3.606135e+00 -6.115921e-01
3.081750e-01 6.482734e-01 5.727743e-02 9.375520e-01 3.279264e+00 2.456551e-03 3.460909e+00 -1.065944e+00
2.920682e-01 8.793897e-01 5.772609e-02 8.998963e-01 3.451201e+00 5.054645e-03 2.837780e+00 -5.292591e-01
3.011806e-01 6.466109e-01 6.263064e-02 1.043505e+00 3.555370e+00 4.940328e-03 2.261162e+00 -8.688165e-01
2.781325e-01 5.507989e-01 3.838276e-02 1.007026e+00 3.576819e+00 1.533292e-03 3.268722e+00 -9.689092e-01
3.079210e-01 8.516349e-01 6.867153e-02 9.825653e-01 3.017907e+00 9.169705e-03 3.287487e+00 -1.045414e+00
2.667077e-01 8.464948e-01 5.048169e-02 1.003200e+00 3.048963e+00 8.319725e-03 2.858091e+00 -1.098942e+00
3.602584e-01 6.805923e-01 4.885956e-02 8.652552e-01 3.428641e+00 7.109343e-03 2.033726e+00 -4.219347e-01
2.176368e-01 8.953497e-01 5.972451e-02 1.033058e+00 3.434103e+00 4.539734e-03 3.192060e+00 -1.117346e+00
2.899132e-01 7.161885e-01 6.764438e-02 1.010145e+00 3.257602e+00 2.691221e-03 3.889393e+00 -1.207973e+00
3.024024e-01 7.860935e-01 5.944688e-02 1.028846e+00 3.236174e+00 9.435645e-03 2.900139e+00 -9.823758e-01
3.245092e-01 6.226626e-01 4.027574e-02 9.850860e-01 3.506529e+00 6.543681e-03 4.210040e+00 -5.102960e-01
2.626845e-01 7.347131e-01 5.306435e-02 1.066623e+00 3.563546e+00 4.249218e-03 4.012151e+00 -7.599388e-01
3.024445e-01 7.466375e-01 5.357280e-02 1.054146e+00 3.467702e+00 7.278791e-03 3.718722e+00 -8.173878e-01
2.698021e-01 7.782428e-01 5.084986e-02 1.021754e+00 3.315220e+00 5.141693e-03 3.810146e+00 -8.887261e-01
3.079913e-01 7.898185e-01 6.471179e-02 9.778497e-01 3.406721e+00 6.745600e-03 3.765444e+00 -6.767463e-01
2.529353e-01 7.215522e-01 4.114692e-02 9.865556e-01 3.191194e+00 1.957147e-03 3.434981e+00 -1.223123e+00
2.843559e-01 5.243295e-01 3.384802e-02 1.028547e+00 3.603548e+00 3.097150e-03 3.473207e+00 -1.019836e+00
2.892473e-01 8.260512e-01 6.473598e-02 9.970538e-01 3.025177e+00 4.362302e-03 2.207416e+00 -9.121995e-01
2.556100e-01 8.151455e-01 5.071032e-02 9.821603e-01 3.720855e+00 9.117506e-03 3.787747e+00 -7.083732e-01
2.737580e-01 6.575890e-01 4.438634e-02 9.596850e-01 3.769443e+00 3.883527e-03 3.401946e+00 -7.319524e-01
2.428220e-01 7.560855e-01 3.799870e-02 1.051618e+00 3.537404e+00 6.911228e-03 3.876937e+00 -1.140888e+00
3.259443e-01 6.352523e-01 4.732229e-02 9.410920e-01 3.774618e+00 5.455015e-03 2.527667e+00 -5.445162e-01
3.006874e-01 5.975286e-01 5.174814e-02 9.600027e-01 3.552049e+00 7.216554e-04 2.743533e+00 -8.082120e-01
2.854050e-01 7.075911e-01 4.665823e-02 9.017268e-01 3.343191e+00 1.771488e-03 4.139591e+00 -9.628165e-01
2.688489e-01 8.371599e-01 6.743231e-02 1.024284e+00 3.475329e+00 8.406406e-03 4.156492e+00 -8.918251e-01
2.470616e-01 6.988800e-01 4.976267e-02 9.976200e-01 3.778454e+00 1.119150e-04 3.062821e+00 -7.084984e-01
3.314912e-01 5.596179e-01 5.662265e-02 1.011862e+00 3.882496e+00 2.129730e-03 2.935857e+00 -5.990686e-01
2.939836e-01 6.344206e-01 4.010107e-02 9.479711e-01 3.341952e+00 1.847999e-03 3.291020e+00 -9.014472e-01
2.502001e-01 6.536351e-01 3.202661e-02 9.794945e-01 3.374874e+00 3.330918e-03 3.351464e+00 -1.237733e+00
2.669087e-01 6.573432e-01 4.277621e-02 1.012583e+00 3.330119e+00 9.052283e-04 2.486667e+00 -1.090414e+00
